"ID","Name","Category","Location","Rating","Reviews","GBP Claimed","Website Status","Website Url","HTTPS Redirect","SSL Status","SSL Provider","Admin Panel Exposed","Forms Protection","Directory Listing","Safe Browsing","Missing Headers","Security Score","Risk Level","Outreach Priority","Estimated Lead Value","Outreach Strategy","Outreach Subject Line","First Touch Pitch","Sales Pitch Hook","Key Security Gaps","Recommendation"
"BIZ-26","Fabindia Fort","Retail & Shops","Mumbai","4.2","980","Yes","Active","https://fabindia.com","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Fabindia Fort","We have run a digital presence scan on Fabindia Fort and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-22","Bahrisons Booksellers Khan Mkt","Retail & Shops","Delhi","4.7","890","Yes","Active","https://bahrisons.in","Yes","Valid","Sectigo","No","Protected","No","Clean","CSP, HSTS","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Bahrisons Booksellers Khan Mkt","We have run a digital presence scan on Bahrisons Booksellers Khan Mkt and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-23","Sabyasachi Flagship Store Kolkata","Retail & Shops","Kolkata","4.6","650","Yes","Active","https://sabyasachi.com","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Sabyasachi Flagship Store Kolkata","We have run a digital presence scan on Sabyasachi Flagship Store Kolkata and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-48","Brunton Boatyard","Hospitality & Hotels","Kochi","4.5","450","Yes","Active","https://cghearth.com","Yes","Valid","GeoTrust","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Brunton Boatyard","We have run a digital presence scan on Brunton Boatyard and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-31","Cyril Amarchand Mangaldas","Professional Services","Mumbai","4.5","210","Yes","Active","https://cyrilshroff.com","Yes","Valid","DigiCert","No","Protected","No","Clean","CSP, HSTS","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Cyril Amarchand Mangaldas","We have run a digital presence scan on Cyril Amarchand Mangaldas and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-34","Khaitan & Co Advocates","Professional Services","Kolkata","4.5","190","Yes","Active","https://khaitanco.com","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Khaitan & Co Advocates","We have run a digital presence scan on Khaitan & Co Advocates and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-32","AZB & Partners Corporate Office","Professional Services","Mumbai","4.6","180","Yes","Active","https://azbpartners.com","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for AZB & Partners Corporate Office","We have run a digital presence scan on AZB & Partners Corporate Office and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-33","Trilegal Advocates","Professional Services","Delhi","4.4","150","Yes","Active","https://trilegal.com","Yes","Valid","Sectigo","No","Protected","No","Clean","CSP","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Trilegal Advocates","We have run a digital presence scan on Trilegal Advocates and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-35","Luthra & Luthra Law Offices Delhi","Professional Services","Delhi","4.3","140","Yes","Active","https://luthra.com","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Luthra & Luthra Law Offices Delhi","We have run a digital presence scan on Luthra & Luthra Law Offices Delhi and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-36","J. Sagar Associates","Professional Services","Delhi","4.2","120","Yes","Active","https://jsalaw.com","Yes","Valid","Sectigo","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for J. Sagar Associates","We have run a digital presence scan on J. Sagar Associates and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-37","Singhania & Co. Legal Advisors","Professional Services","Bengaluru","4.1","85","Yes","Active","https://singhania.in","Yes","Valid","Sectigo","No","Protected","No","Clean","CSP","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Singhania & Co. Legal Advisors","We have run a digital presence scan on Singhania & Co. Legal Advisors and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
